FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1
Julian,Speroni,GLK,CRY,4300000,0,0,0,0,0,0,7439,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,1309,0,13,0,0,0,0,0,0,0,
Raphael,Spiegel,GLK,WHU,4000000,0,0,0,0,0,0,3967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,9302,0,0,0,0,0,0,0,0,0,
Junior,Stanislas,MID,BOU,4600000,9,107,5.1,1.11E-06,2.33E-05,0,294179,1,29,0,0,0,7,0,23.3,0,-9,0,107,9,0,0,0,13,0,4,0,6,1.3,335334,0,217,0,1,1467,0,0,0,372,
Maarten,Stekelenburg,GLK,EVE,4700000,0,68,3.6,7.66E-07,1.45E-05,0,218459,2,24,0,43,0,0,0,14.5,0,-3,0,68,3,0,0,0,3,0,4,0,0,1.7,206572,1,151,2,1,1683,0,0,0,309,
Jack,Stephens,DEF,SOU,4200000,1,60,0.540540541,1.29E-07,1.43E-05,0,36940,1,24,0,0,0,0,0,14.3,0,2,0,60,-2,0,0,0,10,0,6,0,1,5.2,250492,0,0,0,0,1471,0,0,0,341,
Raheem,Sterling,MID,MCI,7500000,0,149,4.5,6.00E-07,1.99E-05,0,1889628,7,27,0,0,0,7,0,19.9,0,-5,0,149,5,0,0,0,11,0,9,0,14,10.6,2147455,0,400,0,2,2509,0,0,0,468,
,Steve Cook,DEF,BOU,4800000,2,112,2.9,6.04E-07,2.33E-05,0,158758,5,67,0,0,0,2,0,23.3,0,-2,0,112,2,0,0,0,17,0,10,0,0,3.2,252167,1,443,0,1,3420,0,0,0,777,
Carl,Stewart,MID,WAT,4500000,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,
Kevin,Stewart,DEF,LIV,4200000,0,4,0.036036036,8.58E-09,9.52E-07,0,5665,0,0,0,0,0,0,0,1,0,-3,0,4,3,0,0,0,0,0,0,0,0,0.1,2968,0,69,0,0,20,0,0,0,12,
John,Stones,DEF,MCI,4600000,0,59,2.2,4.78E-07,1.28E-05,0,1342211,1,29,0,0,0,0,0,12.8,0,-4,0,59,4,0,0,0,4,0,4,0,0,13.3,593898,0,336,0,0,2014,0,0,0,435,
