FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS
Cheikhou,Kouyate,MID,WHU,5200000,2,17,2.1,4.04E-07,3.27E-06,0,68405,1,17,0,0,0,0,0,3.3,3081,-3,0,17,3,0.4,0,2,0,0,2,0,0,1.2,15194,0,498,0,0,720,430,0,0,91
Dusan,Kuciak,GLK,HUL,4000000,0,0,0,0,0,0,2582,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0.3,5535,0,0,0,0,0,190,0,0,0
Olayinka Fredrick Oladotun,Ladapo,FWD,CRY,4500000,0,0,0,0,0,0,818,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,0,0,0,0,6,0,0,0
Daniel,Lafferty,DEF,BUR,4000000,0,0,0,0,0,0,17083,0,0,0,0,0,0,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2795,0,0,0,0,0,25,0,0,0
Adam,Lallana,MID,LIV,7100000,1,42,1.75,2.46E-07,5.92E-06,0,320379,1,10,0,0,0,3,0,5.9,25122,1,0,42,-1,0.8,0,5.7,5,0,0,0,3,11,492081,0,416,0,2,543,35302,0,0,160
Rickie,Lambert,FWD,WBA,5400000,0,1,1,1.85E-07,1.85E-07,0,7311,0,0,0,0,0,0,0,0.2,119,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,1114,0,72,0,0,13,12,0,0,3
Erik,Lamela,MID,TOT,6800000,3,26,3.3,4.85E-07,3.82E-06,0,403246,0,2,0,0,0,1,0,3.8,20705,-2,1,26,2,0.3,1,1.7,4,0,3,0,1,6.8,297953,0,519,0,0,505,2312,-1,0,92
Manuel,Lanzini,MID,WHU,6400000,11,23,0.958333333,1.50E-07,3.59E-06,0,6750,0,10,0,0,0,2,0,3.6,450,-1,0,23,1,0.7,0,4.3,3,0,1,0,0,0.3,15244,0,381,0,1,361,7041,0,0,95
Sebastian,Larsson,MID,SUN,4800000,0,0,0,0,0,0,729,0,0,0,0,0,0,0,0,31,-2,0,0,2,0,0,0,0,0,0,0,0,0,97,0,58,0,0,0,12,0,0,0
Grant,Leadbitter,MID,MID,4900000,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,21,-1,0,0,1,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,6,0,0,0
Joe,Ledley,MID,CRY,4500000,1,17,0.708333333,1.57E-07,3.78E-06,0,16394,0,5,0,0,0,1,0,3.8,2324,0,0,17,0,0.8,0,3.7,1,0,1,0,0,0.8,18421,0,121,0,0,430,1311,0,0,76
,Lee Chung-yong,MID,CRY,4500000,0,14,0.583333333,1.30E-07,3.11E-06,0,10581,0,1,0,0,0,0,0,3.1,722,0,0,14,0,0.4,0,1.7,0,0,2,0,1,0.3,11321,0,56,0,0,193,73,0,0,63
Jonathan,Leko,MID,WBA,4300000,0,7,0.291666667,6.78E-08,1.63E-06,0,16396,0,0,0,0,0,0,0,1.6,1264,-2,0,7,2,0.3,0,1.3,0,0,0,0,1,0.4,14998,0,28,0,0,46,2830,0,0,20
Brian,Lenihan,DEF,HUL,3900000,0,0,0,0,0,0,35416,0,0,0,0,0,0,0,0,2196,-1,0,0,1,0,0,0,0,0,0,0,0,1.3,31559,0,0,0,0,0,5248,0,0,0
Aaron,Lennon,MID,EVE,5600000,0,1,0.041666667,7.44E-09,1.79E-07,0,10500,0,0,0,0,0,0,0,0.2,414,-4,0,1,4,0,0,0,0,0,0,0,0,0.2,1195,0,278,0,0,15,26,0,0,6
Jeremain,Lens,MID,SUN,5900000,0,2,1,1.69E-07,3.39E-07,0,2290,0,1,0,0,0,0,0,0.3,27,-1,0,2,1,0,0,0,0,0,0,0,0,0,145,0,180,0,0,69,1,0,0,12
Jesse,Lingard,MID,MUN,5700000,0,9,0.375,6.58E-08,1.58E-06,0,31231,0,3,0,0,0,0,0,1.6,1045,-3,0,9,3,0.5,0,2.7,0,0,1,0,1,0.4,5412,0,318,0,0,188,763,0,0,38
Jake,Livermore,MID,HUL,4800000,5,15,1.9,3.96E-07,3.13E-06,0,3730,1,20,0,0,0,0,0,3.1,185,-2,1,15,2,0.6,0,2.7,0,0,1,0,1,0.1,1920,0,0,0,0,669,160,-1,1,120
Fernando,Llorente,FWD,SWA,6200000,0,20,3.3,5.32E-07,3.23E-06,0,122559,0,10,0,0,0,1,0,3.2,5992,-3,1,20,3,0.4,0,2.3,1,0,1,0,1,1.5,66390,0,0,0,0,540,3578,-1,0,55
Hugo,Lloris,GLK,TOT,5500000,3,28,4.7,8.55E-07,5.09E-06,0,164350,0,3,0,16,0,0,0,5.1,4332,0,0,28,0,0.9,0,4.7,1,0,3,0,0,6.7,108918,0,419,0,0,484,10435,0,0,127
Ruben,Loftus-Cheek,MID,CHE,5100000,1,1,0.041666667,8.17E-09,1.96E-07,0,3393,0,0,0,0,0,0,0,0.2,63,-4,1,1,4,0.1,0,0.3,0,0,0,0,0,0.1,296,0,68,0,0,9,10,-1,0,3
Chris,Long,FWD,BUR,4500000,0,0,0,0,0,0,28578,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3865,0,0,0,0,0,44,0,0,0
Shane,Long,FWD,SOU,6100000,0,8,1.1,1.80E-07,1.31E-06,0,408122,1,5,0,0,0,0,0,1.3,14343,-4,0,8,4,0.1,0,0.7,0,0,0,0,0,3.9,49630,0,435,0,0,324,588,0,0,16
Donald,Love,DEF,SUN,4100000,0,2,0.083333333,2.03E-08,4.88E-07,0,58730,1,5,0,0,0,0,0,0.5,5983,1,-1,2,-1,0,0,0,0,0,0,0,0,4.7,200204,0,3,0,0,194,1840,1,0,31
Dejan,Lovren,DEF,LIV,4900000,7,20,3.3,6.73E-07,4.08E-06,0,82273,2,8,0,0,0,1,0,4.1,2867,-1,0,20,1,0.6,0,3,2,0,1,0,0,4,113120,0,248,0,0,540,25920,0,0,107
Matthew,Lowton,DEF,BUR,4500000,1,20,2.5,5.56E-07,4.44E-06,0,10411,3,12,0,0,0,0,0,4.4,1121,0,0,20,0,0.7,0,3,2,0,2,0,0,0.7,21965,0,0,0,0,720,1611,0,0,132
Leiva,Lucas,MID,LIV,4400000,0,2,0.083333333,1.89E-08,4.55E-07,0,5592,1,1,0,0,0,0,0,0.5,495,-1,0,2,1,0,0,0,0,0,0,0,0,0.2,7006,0,253,0,0,99,126,0,0,14
Greg,Luer,FWD,HUL,4400000,0,0,0,0,0,0,2581,0,0,0,0,0,0,0,0,166,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3221,0,0,0,0,0,223,0,0,0
Romelu,Lukaku,FWD,EVE,9600000,8,50,7.1,7.40E-07,5.21E-06,0,310815,0,4,0,0,0,6,0,5.3,5564,6,-2,50,-6,0.6,0,6,10,0,2,0,1,28.4,1089100,0,754,0,2,566,250882,2,0,173
Shaun,MacDonald,MID,BOU,4500000,0,0,0,0,0,0,3333,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0.1,124,0,3,0,0,0,4,0,0,0
Pablo,Maffeo,DEF,MCI,4500000,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,31,0,0,0
Harry,Maguire,DEF,HUL,4400000,-1,3,0.8,1.82E-07,6.82E-07,0,764,0,12,0,0,0,0,0,0.7,102,-1,0,3,1,0.2,0,0.7,0,0,0,0,1,0,1114,0,0,0,0,192,143,0,0,55
Riyad,Mahrez,MID,LEI,9200000,1,23,2.9,3.15E-07,2.50E-06,0,675100,1,12,0,0,0,1,0,2.5,41119,-3,0,23,3,0.1,1,1.3,1,0,3,0,1,12.2,82344,0,994,0,0,603,1176,0,0,73
Shaun,Maloney,MID,HUL,4500000,1,15,0.625,1.39E-07,3.33E-06,0,60075,0,5,0,0,0,1,0,3.3,4679,0,0,15,0,0.2,0,0.7,2,0,0,0,1,1.3,87760,0,0,0,1,151,164,0,0,55
Steve,Mandanda,GLK,CRY,4400000,3,14,2.3,5.23E-07,3.18E-06,0,68486,0,7,0,14,0,0,0,3.2,3113,-1,0,14,1,0.5,0,2,0,0,0,0,0,3.7,36636,0,0,0,0,540,2823,0,0,77
Sadio,Mane,MID,LIV,9000000,3,34,4.9,5.44E-07,3.78E-06,0,375610,1,8,0,0,0,3,0,3.8,35520,0,0,34,0,0.4,0,4,2,0,1,0,1,13.9,337477,0,635,0,0,627,5615,0,0,113
Eliaquim,Mangala,DEF,MCI,5400000,0,0,0,0,0,0,19084,0,0,0,0,0,0,0,0,268,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,695,0,235,0,0,0,8,0,0,0
Alexander,Manninger,GLK,LIV,4000000,0,0,0,0,0,0,3158,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0.4,6999,0,0,0,0,0,294,0,0,0
Vito,Mannone,GLK,SUN,4400000,0,3,0.125,2.84E-08,6.82E-07,0,27962,0,4,0,4,0,0,0,0.7,951,-1,0,3,1,0,0,0,0,0,0,0,0,0.5,3891,0,210,0,0,180,20,0,0,25
Javier,Manquillo,DEF,SUN,4500000,1,8,1.3,2.89E-07,1.78E-06,0,872,1,11,0,0,0,0,0,1.8,131,0,0,8,0,0.3,0,1.3,0,0,0,0,0,0,1909,0,0,0,0,540,97,0,0,56
,Marc Wilson,DEF,BOU,4000000,0,0,0,0,0,0,27362,0,0,0,0,0,0,0,0,2047,0,0,0,0,0,0,0,0,0,0,0,0,1.7,25665,0,14,0,0,0,4387,0,0,0
Adrian,Mariappa,DEF,WAT,4000000,0,0,0,0,0,0,4558,0,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0.4,17268,0,0,0,0,0,1712,0,0,0
Lazar,Markovic,MID,LIV,5400000,0,0,0,0,0,0,2863,0,0,0,0,0,0,0,0,35,-1,0,0,1,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,5,0,0,0
Dean,Marney,MID,BUR,4500000,1,21,2.6,5.78E-07,4.67E-06,0,17762,1,11,0,0,0,0,0,4.7,3478,0,0,21,0,0.4,0,2,1,0,2,0,1,0.9,41501,0,0,0,0,701,2615,0,0,100
David,Marshall,GLK,HUL,4500000,0,5,0.208333333,4.63E-08,1.11E-06,0,1241,0,13,0,16,0,0,0,1.1,245,0,0,5,0,0.4,0,1.7,0,0,0,0,0,0.1,3946,0,0,0,0,270,333,0,0,60
Anthony,Martial,MID,MUN,9300000,0,23,0.958333333,1.03E-07,2.47E-06,0,267636,0,3,0,0,0,1,0,2.5,4311,-2,0,23,2,0.2,0,2,3,0,1,0,2,3,94406,0,593,0,1,295,237,0,0,68
Cuco,Martina,DEF,SOU,4300000,2,10,0.416666667,9.69E-08,2.33E-06,0,5108,0,1,0,0,0,0,0,2.3,964,-2,0,10,2,0.7,0,3,0,0,1,0,0,0.4,13923,0,203,0,0,166,3804,0,0,37
Bruno,Martins Indi,DEF,STK,4900000,8,12,2.4,4.90E-07,2.45E-06,0,1344,0,10,0,0,0,0,0,2.4,163,-1,0,12,1,0.8,0,4,2,0,1,0,0,0.1,3978,0,0,0,0,450,1334,0,0,90
