FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Dean,Marney,MID,BUR,4400000,0,51,2.4,5.45454545454545E-07,1.15909090909091E-05,0,65920,7,28,0,0,0,1,0,11.6,581,-1,0,51,1,0,0,0,1,0,5,0,2,0.4,68616,0,0,0,0,1764,26,0,0,239,Sunderland,Tottenham,Stoke,Middlesbrough,Everton,0,0,0,0,0,2.1,1.3,2.3,1.2,1.7
David,Marshall,GLK,HUL,4500000,0,31,2.1,4.66666666666667E-07,6.88888888888889E-06,0,6103,0,37,0,56,0,0,0,6.9,111,0,0,31,0,0,0,0,0,0,0,0,0,0.1,7534,1,0,0,0,1350,22,0,0,239,Everton,West Ham,Middlesbrough,Man City,Stoke,1.1,2.6,2.1,1.4,1.5,1.9,1.5,1.9,1.8,2.2
Anthony,Martial,MID,MUN,9200000,0,62,0.738095238095238,8.02277432712215E-08,6.73913043478261E-06,0,298777,0,8,0,0,0,3,0,6.7,1189,-3,0,62,3,0.2,0,2,6,0,5,0,4,2.4,106575,0,593,0,2,877,590,0,0,201,Middlesbrough,West Brom,Everton,Sunderland,Chelsea,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Cuco,Martina,DEF,SOU,4300000,0,31,0.369047619047619,8.58250276854928E-08,7.2093023255814E-06,0,52230,0,6,0,0,0,0,0,7.2,492,-2,0,31,2,0,0,0,5,0,3,0,0,0.4,61539,0,203,0,0,592,84,0,0,140,Tottenham,Bournemouth,Crystal Palace,West Brom,Man City,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2
Bruno,Martins Indi,DEF,STK,4900000,0,87,3.5,7.14285714285714E-07,1.77551020408163E-05,0,27438,1,34,0,0,0,1,0,17.8,865,-1,0,87,1,0.8,0,4,8,0,9,0,0,0.7,51398,0,0,0,1,2246,1692,0,0,470,Chelsea,Leicester,Burnley,Liverpool,Hull City,4.2,2.3,2.3,5.2,4.6,3.2,5,3.7,4.8,3.5
Brandon,Mason,DEF,WAT,4000000,0,1,0.0119047619047619,2.97619047619048E-09,2.5E-07,0,1557,0,0,0,0,0,0,0,0.3,51,0,0,1,0,0,0,0,0,0,0,0,0,0.1,3382,0,0,0,0,23,43,0,0,3,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,0,0,0,0,0,0,0,0,0,0
Ryan,Mason,MID,HUL,4600000,0,26,0.30952380952381,6.7287784679089E-08,5.65217391304348E-06,0,5010,4,27,0,0,0,1,0,5.7,12,-4,0,26,4,0,0,0,0,0,0,0,0,0,3729,0,147,0,0,927,0,0,0,126,Everton,West Ham,Middlesbrough,Man City,Stoke,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
Arthur,Masuaku,DEF,WHU,4700000,0,11,0.130952380952381,2.78622087132725E-08,2.34042553191489E-06,0,24548,1,18,0,0,0,0,0,2.3,28,-3,0,11,3,0,0,0,1,0,1,0,1,0.1,17792,0,0,0,0,526,5,0,0,131,Leicester,Hull City,Arsenal,Swansea,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Juan,Mata,MID,MUN,7200000,0,87,4.1,5.69444444444444E-07,1.20833333333333E-05,0,306844,3,12,0,0,0,6,0,12.1,4679,-3,0,87,3,0.3,0,2,12,0,8,0,2,3.2,337862,1,586,0,1,1317,12216,0,0,384,Middlesbrough,West Brom,Everton,Sunderland,Chelsea,4.2,4.2,4.4,4.9,3.5,3.9,4.3,3,2.7,3.9
Nemanja,Matic,MID,CHE,4800000,0,78,3,6.25E-07,1.625E-05,0,263208,4,16,0,0,0,0,0,15.9,4838,-2,1,78,2,0.2,0,1,1,0,12,0,7,3.2,268482,0,373,0,0,1995,1230,-1,0,404,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,2,2.6,2.2,1.9,2.3,0,1.9,3.2,1.9,3.7
Joel,Matip,DEF,LIV,5300000,2,54,2.8,5.28301886792453E-07,1.0188679245283E-05,0,136556,2,19,0,0,0,1,0,10.2,2916,-2,0,54,2,0.3,0,1.7,1,0,4,0,0,2.1,126804,0,0,0,0,1621,705,0,0,342,Man City,Everton,Bournemouth,Stoke,West Brom,2.3,3,3.6,2.4,2.5,3.3,1.8,3.5,3.1,3.1
Adam,Matthews,DEF,SUN,4000000,0,0,0,0,0,0,1411,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,4,0,0,0,6,0,0,0,Burnley,Watford,Leicester,Man Utd,West Ham,0,0,0,0,0,0,0,0,0,0
Alfie,Mawson,DEF,SWA,4600000,8,62,3.6,7.82608695652174E-07,1.34782608695652E-05,0,12004,0,36,0,0,0,4,0,13.5,3301,1,0,62,-1,0.7,0,3.3,8,0,3,0,0,2.3,110065,1,0,0,3,1530,16125,0,0,362,Bournemouth,Middlesbrough,Tottenham,West Ham,Watford,4.1,4.3,4.5,4.6,3.1,4.7,3,4.1,3.1,4.8
Dieumerci,Mbokani,FWD,HUL,5400000,0,25,0.297619047619048,5.51146384479718E-08,4.62962962962963E-06,0,7877,0,15,0,0,0,0,0,4.6,44,-1,0,25,1,0.1,0,0.7,0,0,3,0,2,0,8112,0,0,0,0,745,12,0,0,38,Everton,West Ham,Middlesbrough,Man City,Stoke,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
