FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
David,Meyler,MID,HUL,4400000,1,32,1.7,3.86363636363636E-07,7.27272727272727E-06,0,17636,2,22,0,0,0,1,0,7.3,157,-1,0,32,1,0.2,0,0.7,0,0,2,0,0,0.2,15415,0,0,0,0,953,89,0,0,177,Leicester,Swansea,Everton,West Ham,Middlesbrough,0.9,1.2,0.8,0.9,1.4,0.8,0.8,1.6,0.8,1.7,0.8,1.2
Matt,Miazga,DEF,CHE,4400000,0,0,0,0,0,0,3859,0,0,0,0,0,0,0,0,8,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,449,0,18,0,0,0,5,0,0,0,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0
Simon,Mignolet,GLK,LIV,4700000,2,62,3.9,8.29787234042553E-07,1.31914893617021E-05,0,132288,0,21,0,31,0,0,0,13.2,2739,-3,0,62,3,0.8,0,3.7,5,0,4,0,0,2.5,121125,0,340,2,1,1440,1668,0,0,285,Arsenal,Burnley,Man City,Everton,Bournemouth,5.6,5.3,3.7,4.9,5.6,4,4,5.2,3.2,5.5,4.6,4.9
,Mika,GLK,SUN,4400000,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,5,0,0,0,Man City,Burnley,Watford,Leicester,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
John Obi,Mikel,MID,CHE,4400000,0,0,0,0,0,0,5236,0,0,0,0,0,0,0,0,19,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1935,0,209,0,0,0,3,0,0,0,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0
Luka,Milivojevic,MID,CRY,5000000,3,5,0.0641025641025641,1.28205128205128E-08,1E-06,0,133,0,1,0,0,0,0,0,1,30,0,0,5,0,0.3,0,1.7,0,0,1,0,0,0,551,0,0,0,0,180,113,0,0,27,West Brom,Watford,Chelsea,Southampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
James,Milner,MID,LIV,6500000,2,105,4.4,6.76923076923077E-07,1.61538461538462E-05,0,494859,5,26,0,0,0,6,0,16.2,17460,0,0,105,0,0.3,0,1.7,14,0,7,0,4,5.3,628296,0,508,0,3,2088,8593,0,0,501,Arsenal,Burnley,Man City,Everton,Bournemouth,4,6.5,3.1,5.3,5.1,3.6,3.2,4.9,4.5,5.2,2.9,5.6
Tyrone,Mings,DEF,BOU,4500000,3,2,0.0256410256410256,5.6980056980057E-09,4.44444444444444E-07,0,1686,0,15,0,0,0,0,0,0.4,53,0,0,2,0,0.1,0,0.3,2,0,0,0,0,0.1,1528,2,1,0,0,429,115,0,0,76,Man Utd,West Ham,Swansea,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0
Kevin,Mirallas,MID,EVE,6100000,4,80,3.3,5.40983606557377E-07,1.31147540983607E-05,0,296871,1,16,0,0,0,3,0,13.1,7780,-4,0,80,4,0.3,0,1.7,5,0,7,0,5,2.4,325154,0,245,0,1,1382,1804,0,0,262,Tottenham,West Brom,Hull City,Liverpool,Man Utd,1.6,3.3,4.3,1.6,2.5,4.3,4.4,1.8,2.8,2.5,4.2,1.7
Henrikh,Mkhitaryan,MID,MUN,8800000,0,50,0.641025641025641,7.28438228438229E-08,5.68181818181818E-06,0,379059,1,6,0,0,0,3,0,5.7,23658,-7,1,50,7,1,0,8.5,3,0,6,0,1,2.2,187779,0,0,0,1,885,2772,-1,0,200,Bournemouth,Middlesbrough,West Brom,Everton,Sunderland,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
